source,commit,subject
ad-platform-bot,e7df4bd5,Initial commit
ad-platform-bot,508e0689,feat: 初始化扶摇数据分析智能体项目
ad-platform-bot,1cb5bd66,feat: 初始化前端聊天界面项目结构
ad-platform-bot,3684d9a6,refactor: 移除 API 密钥和认证方案相关代码
ad-platform-bot,3940eef3,feat(sql): 添加业务线权限控制并优化SQL代理功能
