# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1786634669725000000,1786634692733000000,4
cacheStateStorage.set.duration,1786634669725000000,1786634692733000000,14
cacheStateStorage.set.counter,1786634669725000000,1786634692733000000,2
cacheStateStorage.get.duration,1786634669725000000,1786634692733000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1786634669725000000,1786634692733000000,30624
NonBlockingReadAction.finalizedExecutionsCount,1786634669725000000,1786634692733000000,7
NonBlockingReadAction.failedExecutionsCount,1786634669725000000,1786634692733000000,0
NonBlockingReadAction.failedExecutionTimeUs,1786634669725000000,1786634692733000000,0
AWTEventQueue.dispatchTimeTotalNS,1786634669725000000,1786634692733000000,1795453498
DiskQueryRelay.tasksExecuted,1786634669725000000,1786634692733000000,107
DiskQueryRelay.taskExecutionTotalTimeUs,1786634669725000000,1786634692733000000,32158
writeAction.median.wait.ms,1786634669725000000,1786634692733000000,0
writeAction.wait.ms,1786634669725000000,1786634692733000000,0
DiskQueryRelay.tasksRequested,1786634669725000000,1786634692733000000,107
writeAction.max.wait.ms,1786634669725000000,1786634692733000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1786634669725000000,1786634692733000000,40642
writeAction.count,1786634669725000000,1786634692733000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1786634669725000000,1786634692733000000,0
workspaceModel.load.cache.metadata.from.file.ms,1786634669725000000,1786634692733000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786634669725000000,1786634692733000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786634669725000000,1786634692733000000,0
jps.global.handle.before.change.events.ms,1786634669725000000,1786634692733000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786634669725000000,1786634692733000000,0
jps.library.entities.serializer.load.entities.ms,1786634669725000000,1786634692733000000,0
workspaceModel.sync.entities.ms,1786634669725000000,1786634692733000000,0
