# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1786635672592000000,1786635693789000000,0
jps.save.global.entities.ms,1786635672592000000,1786635693789000000,2
jps.global.get.library.ms,1786635672592000000,1786635693789000000,0
workspaceModel.global.updates.count,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786635672592000000,1786635693789000000,0
jps.app.storage.content.writer.save.component.ms,1786635672592000000,1786635693789000000,1
jps.library.entities.serializer.save.entities.ms,1786635672592000000,1786635693789000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1786635672592000000,1786635693789000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786635672592000000,1786635693789000000,0
jps.global.initialize.library.bridges.after.loading.ms,1786635672592000000,1786635693789000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1786635672592000000,1786635693789000000,0
workspaceModel.load.cache.metadata.from.file.ms,1786635672592000000,1786635693789000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1786635672592000000,1786635693789000000,0
workspaceModel.global.apply.state.to.project.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.entities.ms,1786635672592000000,1786635693789000000,1
jps.global.initialize.library.bridges.ms,1786635672592000000,1786635693789000000,0
jps.load.initial.state.ms,1786635672592000000,1786635693789000000,6
workspaceModel.sync.entities.ms,1786635672592000000,1786635693789000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786635672592000000,1786635693789000000,0
workspaceModel.save.cache.to.file.ms,1786635672592000000,1786635693789000000,0
workspaceModel.do.save.caches.ms,1786635672592000000,1786635693789000000,0
