# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileChannelInterruptsRetryer.totalRetriedAttempts,1786879988445000000,1786880010425000000,0
DirectByteBufferAllocator.reclaimed,1786879988445000000,1786880010425000000,43
DirectByteBufferAllocator.disposed,1786879988445000000,1786880010425000000,160
StorageLockContext.competingThreads.avg,1786879988445000000,1786880010425000000,0.0
FilePageCache.uncachedFileAccess,1786879988445000000,1786880010425000000,119
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786879988445000000,1786880010425000000,41943040
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786879988445000000,1786880010425000000,41943040
FilePageCache.maxCacheSizeInBytes,1786879988445000000,1786880010425000000,209715200
FilePageCache.capacityInBytes,1786879988445000000,1786880010425000000,629145600
FilePageCache.totalPageDisposalsUs,1786879988445000000,1786880010425000000,521
FilePageCache.pageLoadsAboveSizeThreshold,1786879988445000000,1786880010425000000,0
FilePageCache.totalPageLoadsUs,1786879988445000000,1786880010425000000,113733
StorageLockContext.competingThreads.max,1786879988445000000,1786880010425000000,0
FilePageCache.maxRegisteredFiles,1786879988445000000,1786880010425000000,551
DirectByteBufferAllocator.misses,1786879988445000000,1786880010425000000,200
DirectByteBufferAllocator.hits,1786879988445000000,1786880010425000000,3
FilePageCache.pageLoads,1786879988445000000,1786880010425000000,203
FilePageCache.disposedBuffers,1786879988445000000,1786880010425000000,203
StorageLockContext.competingThreads.90P,1786879988445000000,1786880010425000000,0
FilePageCache.pageFastCacheHits,1786879988445000000,1786880010425000000,4016
FilePageCache.pageHits,1786879988445000000,1786880010425000000,0
workspaceModel.mutableEntityStorage.entities.ms,1786879988445000000,1786880010425000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786879988445000000,1786880010425000000,0
jps.load.initial.state.ms,1786879988445000000,1786880010425000000,7
workspaceModel.load.cache.metadata.from.file.ms,1786879988445000000,1786880010425000000,0
workspaceModel.global.updates.ms,1786879988445000000,1786880010425000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786879988445000000,1786880010425000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1786879988445000000,1786880010425000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786879988445000000,1786880010425000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786879988445000000,1786880010425000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1786879988445000000,1786880010425000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786879988445000000,1786880010425000000,0
workspaceModel.global.apply.state.to.project.ms,1786879988445000000,1786880010425000000,0
workspaceModel.save.cache.to.file.ms,1786879988445000000,1786880010425000000,0
